22:07:40.707 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
22:07:40.714 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:40.721 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
22:07:40.728 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
22:07:40.735 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.02 -0.01
22:07:40.742 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.00
22:07:40.750 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:40.756 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.03 0.00
22:07:40.763 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.00
22:07:40.770 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.00
22:07:40.777 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 0.02
22:07:40.784 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.02
22:07:40.791 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 -0.01
22:07:40.798 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:40.805 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:40.812 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.00
22:07:40.819 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 0.03
22:07:40.826 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.02
22:07:40.833 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.02
22:07:40.840 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.02
22:07:40.847 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:40.854 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.01 0.00
22:07:40.861 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.02 -0.01
22:07:40.868 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.02 0.00
22:07:40.875 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.04 0.00
22:07:40.882 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 0.02
22:07:40.889 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.00
22:07:40.896 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.02 -0.01
22:07:40.904 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.02 -0.01
22:07:40.910 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 -0.01
22:07:40.917 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.00
22:07:40.924 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.02
22:07:40.931 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:40.939 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 -0.03
22:07:40.945 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.04 -0.01
22:07:40.952 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 -0.01
22:07:40.959 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.03 -0.01
22:07:40.966 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 -0.03
22:07:40.973 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 -0.03
22:07:40.980 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:40.987 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 0.03
22:07:40.994 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 0.03
22:07:41.001 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.02
22:07:41.008 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 0.00
22:07:41.015 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.02
22:07:41.022 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 -0.01
22:07:41.029 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 -0.01
